"nb_villes","meth_decroiss_temp","amplitude","temp_init","temp_finale","nb_rep_max","alpha","resultat"
30,0,3,1000,901,500,"0,5","110,1137400000"
30,0,3,1000,901,500,"1","110,5442870000"
30,0,3,1000,901,500,"3","113,6819292000"
30,0,3,1000,901,500,"5","115,9263660000"
30,0,3,1000,901,1000,"0,5","108,3342480000"
30,0,3,1000,901,1000,"1","100,4599420000"
30,0,3,1000,901,1000,"3","109,9222900000"
30,0,3,1000,901,1000,"5","109,9222900000"
30,0,5,1000,1,100,"0,5","90,4280358000"
30,0,5,1000,1,100,"1","102,0874210000"
30,0,5,1000,1,100,"3","107,3699326000"
30,0,5,1000,1,100,"5","113,5009600000"
30,0,5,1000,1,500,"0,5","82,9629228000"
30,0,5,1000,1,500,"1","85,8483242000"
30,0,5,1000,1,500,"3","102,3804400000"
30,0,5,1000,1,500,"5","103,3178520000"
30,0,5,1000,1,1000,"0,5","74,1140476000"
30,0,5,1000,1,1000,"1","83,5245508000"
30,0,5,1000,1,1000,"3","95,8076594000"
30,0,5,1000,1,1000,"5","100,2874890000"
30,0,5,500,1,100,"0,5","104,0887940000"
30,0,5,500,1,100,"1","103,7299032000"
30,0,5,500,1,100,"3","105,9229270000"
30,0,5,500,1,100,"5","106,7315010000"
30,0,5,500,1,500,"0,5","81,0119854000"
30,0,5,500,1,500,"1","82,5006316000"
30,0,5,500,1,500,"3","80,4187750000"
30,0,5,500,1,500,"5","105,4273730000"
30,0,5,500,1,1000,"0,5","75,7094722000"
30,0,5,500,1,1000,"1","78,8182416000"
30,0,5,500,1,1000,"3","85,8647794000"
30,0,5,500,1,1000,"5","94,4261730000"
30,0,5,100,1,100,"0,5","91,4411130000"
30,0,5,100,1,100,"1","104,4221910000"
30,0,5,100,1,100,"3","113,8388110000"
30,0,5,100,1,100,"5","115,6043980000"
30,0,5,100,1,500,"0,5","82,8029680000"
30,0,5,100,1,500,"1","74,1188570000"
30,0,5,100,1,500,"3","101,7603310000"
30,0,5,100,1,500,"5","102,4703770000"
30,0,5,100,1,1000,"0,5","74,3191600000"
30,0,5,100,1,1000,"1","79,0839460000"
30,0,5,100,1,1000,"3","98,4303226000"
30,0,5,100,1,1000,"5","100,3482380000"
30,0,5,1000,501,100,"0,5","108,3820430000"
30,0,5,1000,501,100,"1","108,4740420000"
30,0,5,1000,501,100,"3","109,6811010000"
30,0,5,1000,501,100,"5","107,3282000000"
30,0,5,1000,501,500,"0,5","103,2483020000"
30,0,5,1000,501,500,"1","104,2628656000"
30,0,5,1000,501,500,"3","107,0984832000"
30,0,5,1000,501,500,"5","107,5702510000"
30,0,5,1000,501,1000,"0,5","102,4779768000"
30,0,5,1000,501,1000,"1","98,5681668000"
30,0,5,1000,501,1000,"3","108,2240466000"
30,0,5,1000,501,1000,"5","103,3446350000"
30,0,5,1000,901,100,"0,5","106,9164574000"
30,0,5,1000,901,100,"1","102,6854570000"
30,0,5,1000,901,100,"3","107,8094130000"
30,0,5,1000,901,100,"5","107,8094130000"
30,0,5,1000,901,500,"0,5","104,0245434000"
30,0,5,1000,901,500,"1","108,1183890000"
30,0,5,1000,901,500,"3","114,5317230000"
30,0,5,1000,901,500,"5","114,5317230000"
30,0,5,1000,901,1000,"0,5","104,0709868000"
30,0,5,1000,901,1000,"1","106,2517620000"
30,0,5,1000,901,1000,"3","115,6567190000"
30,0,5,1000,901,1000,"5","109,8237130000"
30,0,10,1000,1,100,"0,5","101,1145436000"
30,0,10,1000,1,100,"1","106,2558184000"
30,0,10,1000,1,100,"3","109,7302060000"
30,0,10,1000,1,100,"5","106,2825490000"
30,0,10,1000,1,500,"0,5","81,1587024000"
30,0,10,1000,1,500,"1","80,3810916000"
30,0,10,1000,1,500,"3","105,3195516000"
30,0,10,1000,1,500,"5","106,5621838000"
30,0,10,1000,1,1000,"0,5","73,1499246000"
30,0,10,1000,1,1000,"1","86,6147058000"
30,0,10,1000,1,1000,"3","101,4039158000"
30,0,10,1000,1,1000,"5","101,7452100000"
30,0,10,500,1,100,"0,5","91,5238360000"
30,0,10,500,1,100,"1","107,9586740000"
30,0,10,500,1,100,"3","112,6447710000"
30,0,10,500,1,100,"5","110,6884650000"
30,0,10,500,1,500,"0,5","83,1237098000"
30,0,10,500,1,500,"1","88,2940950000"
30,0,10,500,1,500,"3","89,2012100000"
30,0,10,500,1,500,"5","107,3865010000"
30,0,10,500,1,1000,"0,5","71,9098378000"
30,0,10,500,1,1000,"1","90,9268868000"
30,0,10,500,1,1000,"3","79,0379808000"
30,0,10,500,1,1000,"5","105,1681010000"
30,0,10,100,1,100,"0,5","99,2506340000"
30,0,10,100,1,100,"1","83,8715980000"
30,0,10,100,1,100,"3","115,3689820000"
30,0,10,100,1,100,"5","113,4635630000"
30,0,10,100,1,500,"0,5","84,1795694000"
30,0,10,100,1,500,"1","93,1014860000"
30,0,10,100,1,500,"3","100,9650290000"
30,0,10,100,1,500,"5","105,8064640000"
30,0,10,100,1,1000,"0,5","83,0561450000"
30,0,10,100,1,1000,"1","85,9093790000"
30,0,10,100,1,1000,"3","99,4725580000"
30,0,10,100,1,1000,"5","96,3295728000"
30,0,10,1000,501,100,"0,5","105,9282670000"
30,0,10,1000,501,100,"1","106,9040942000"
30,0,10,1000,501,100,"3","110,5297550000"
30,0,10,1000,501,100,"5","111,4295850000"
30,0,10,1000,501,500,"0,5","101,1373922000"
30,0,10,1000,501,500,"1","104,8484116000"
30,0,10,1000,501,500,"3","109,8788680000"
30,0,10,1000,501,500,"5","107,7245580000"
30,0,10,1000,501,1000,"0,5","98,5853100000"
30,0,10,1000,501,1000,"1","103,2334854000"
30,0,10,1000,501,1000,"3","101,1394066000"
30,0,10,1000,501,1000,"5","106,1693144000"
30,0,10,1000,901,100,"0,5","109,7016930000"
30,0,10,1000,901,100,"1","111,4270950000"
30,0,10,1000,901,100,"3","116,5695970000"
30,0,10,1000,901,100,"5","116,5695970000"
30,0,10,1000,901,500,"0,5","104,9310010000"
30,0,10,1000,901,500,"1","108,7593680000"
30,0,10,1000,901,500,"3","108,9027408000"
30,0,10,1000,901,500,"5","117,8669170000"
30,0,10,1000,901,1000,"0,5","105,7191690000"
30,0,10,1000,901,1000,"1","108,1488410000"
30,0,10,1000,901,1000,"3","110,1352300000"
30,0,10,1000,901,1000,"5","105,5739760000"
30,1,1,1000,1,100,"0,30","118,8296310000"
30,1,1,1000,1,100,"0,70","79,5553390000"
30,1,1,1000,1,100,"0,90","73,0509570000"
30,1,1,1000,1,100,"0,99","61,2491580000"
30,1,1,1000,1,500,"0,30","85,3832480000"
30,1,1,1000,1,500,"0,70","67,2406470000"
30,1,1,1000,1,500,"0,90","61,7039500000"
30,1,1,1000,1,500,"0,99","55,8060536000"
30,1,1,1000,1,1000,"0,30","83,9241890000"
30,1,1,1000,1,1000,"0,70","66,3966900000"
30,1,1,1000,1,1000,"0,90","61,9091100000"
30,1,1,1000,1,1000,"0,99","53,8442820000"
30,1,1,500,1,100,"0,30","81,7693230000"
30,1,1,500,1,100,"0,70","77,6953840000"
30,1,1,500,1,100,"0,90","72,3184620000"
30,1,1,500,1,100,"0,99","58,8740010000"
30,1,1,500,1,500,"0,30","68,5950590000"
30,1,1,500,1,500,"0,70","68,1062500000"
30,1,1,500,1,500,"0,90","65,3281470000"
30,1,1,500,1,500,"0,99","54,9558048000"
30,1,1,500,1,1000,"0,30","65,8859810000"
30,1,1,500,1,1000,"0,70","56,5930050000"
30,1,1,500,1,1000,"0,90","65,0823940000"
30,1,1,500,1,1000,"0,99","54,3257738000"
30,1,1,100,1,100,"0,30","101,3518900000"
30,1,1,100,1,100,"0,70","100,9231468000"
30,1,1,100,1,100,"0,90","72,4490580000"
30,1,1,100,1,100,"0,99","65,9821300000"
30,1,1,100,1,500,"0,30","88,5331150000"
30,1,1,100,1,500,"0,70","73,1580370000"
30,1,1,100,1,500,"0,90","66,9992570000"
30,1,1,100,1,500,"0,99","55,4876360000"
30,1,1,100,1,1000,"0,30","93,7405100000"
30,1,1,100,1,1000,"0,70","61,6225560000"
30,1,1,100,1,1000,"0,90","60,7988500000"
30,1,1,100,1,1000,"0,99","54,1443416000"
30,1,1,1000,501,100,"0,30","121,8743140000"
30,1,1,1000,501,100,"0,70","121,8743140000"
30,1,1,1000,501,100,"0,90","121,8743140000"
30,1,1,1000,501,100,"0,99","117,3668140000"
30,1,1,1000,501,500,"0,30","121,8743140000"
30,1,1,1000,501,500,"0,70","132,3171010000"
30,1,1,1000,501,500,"0,90","124,7563780000"
30,1,1,1000,501,500,"0,99","112,4817670000"
30,1,1,1000,501,1000,"0,30","132,3171010000"
30,1,1,1000,501,1000,"0,70","124,7563780000"
30,1,1,1000,501,1000,"0,90","116,9958882000"
30,1,1,1000,501,1000,"0,99","110,9090610000"
30,1,1,1000,901,100,"0,30","130,7997800000"
30,1,1,1000,901,100,"0,70","130,7997800000"
