"nb_villes","meth_decroiss_temp","amplitude","temp_init","temp_finale","nb_rep_max","alpha","resultat"
30,0,1,1000,1,100,"1,453","97,7788290000"
30,0,1,1000,1,500,"1,453","83,9556814000"
30,0,1,1000,1,1000,"1,453","76,1508756000"
30,0,1,500,1,100,"1,453","97,8481410000"
30,0,1,500,1,500,"1,453","80,5733732000"
30,0,1,500,1,1000,"1,453","76,8663244000"
30,0,1,100,1,100,"1,453","93,0524870000"
30,0,1,100,1,500,"1,453","70,9079050000"
30,0,1,100,1,1000,"1,453","71,2150700000"
30,0,1,1000,501,100,"1,453","109,8474020000"
30,0,1,1000,501,500,"1,453","105,6839848000"
30,0,1,1000,501,1000,"1,453","107,8679576000"
30,0,1,1000,901,100,"1,453","110,5110830000"
30,0,1,1000,901,500,"1,453","107,8160690000"
30,0,1,1000,901,1000,"1,453","103,7841038000"
30,0,3,1000,1,100,"1,453","85,5702470000"
30,0,3,1000,1,500,"1,453","77,1050096000"
30,0,3,1000,1,1000,"1,453","85,5552308000"
30,0,3,500,1,100,"1,453","101,0832790000"
30,0,3,500,1,500,"1,453","76,4809678000"
30,0,3,500,1,1000,"1,453","76,9149136000"
30,0,3,100,1,100,"1,453","86,2716790000"
30,0,3,100,1,500,"1,453","70,8024750000"
30,0,3,100,1,1000,"1,453","67,1275552000"
30,0,3,1000,501,100,"1,453","108,8904520000"
30,0,3,1000,501,500,"1,453","104,5549590000"
30,0,3,1000,501,1000,"1,453","98,2784736000"
30,0,3,1000,901,100,"1,453","115,4353250000"
30,0,3,1000,901,500,"1,453","113,5758410000"
30,0,3,1000,901,1000,"1,453","110,7117610000"
30,0,5,1000,1,100,"1,453","97,4074120000"
30,0,5,1000,1,500,"1,453","87,5035050000"
30,0,5,1000,1,1000,"1,453","82,7893752000"
30,0,5,500,1,100,"1,453","101,1662960000"
30,0,5,500,1,500,"1,453","82,5583356000"
30,0,5,500,1,1000,"1,453","73,4685076000"
30,0,5,100,1,100,"1,453","91,9281200000"
30,0,5,100,1,500,"1,453","69,1485840000"
30,0,5,100,1,1000,"1,453","76,1541660000"
30,0,5,1000,501,100,"1,453","105,5028190000"
30,0,5,1000,501,500,"1,453","104,9577190000"
30,0,5,1000,501,1000,"1,453","104,1526394000"
30,0,5,1000,901,100,"1,453","109,4768770000"
30,0,5,1000,901,500,"1,453","110,7272430000"
30,0,5,1000,901,1000,"1,453","103,5380010000"
30,0,10,1000,1,100,"1,453","102,7608090000"
30,0,10,1000,1,500,"1,453","92,3805360000"
30,0,10,1000,1,1000,"1,453","83,1986952000"
30,0,10,500,1,100,"1,453","93,5583150000"
30,0,10,500,1,500,"1,453","87,2966376000"
30,0,10,500,1,1000,"1,453","84,1831996000"
30,0,10,100,1,100,"1,453","103,0098820000"
30,0,10,100,1,500,"1,453","81,5443980000"
30,0,10,100,1,1000,"1,453","80,1287930000"
30,0,10,1000,501,100,"1,453","109,2737196000"
30,0,10,1000,501,500,"1,453","107,4553970000"
30,0,10,1000,501,1000,"1,453","106,8213476000"
30,0,10,1000,901,100,"1,453","115,9688840000"
30,0,10,1000,901,500,"1,453","109,6012270000"
30,0,10,1000,901,1000,"1,453","103,5334810000"
30,1,1,1000,1,100,"0,99","54,4781800000"
30,1,1,1000,1,500,"0,99","54,3204880000"
30,1,1,1000,1,1000,"0,99","52,8254368000"
30,1,1,500,1,100,"0,99","62,0163630000"
30,1,1,500,1,500,"0,99","52,1568512000"
30,1,1,500,1,1000,"0,99","54,3665308000"
30,1,1,100,1,100,"0,99","56,1257390000"
30,1,1,100,1,500,"0,99","53,8079588000"
30,1,1,100,1,1000,"0,99","54,6174178000"
30,1,1,1000,501,100,"0,99","112,8630820000"
30,1,1,1000,501,500,"0,99","113,7468160000"
30,1,1,1000,501,1000,"0,99","107,8413500000"
30,1,1,1000,901,100,"0,99","125,2653270000"
30,1,1,1000,901,500,"0,99","116,6316320000"
30,1,1,1000,901,1000,"0,99","106,7577220000"
30,1,3,1000,1,100,"0,99","65,6208650000"
30,1,3,1000,1,500,"0,99","57,4287294000"
30,1,3,1000,1,1000,"0,99","56,0442856000"
30,1,3,500,1,100,"0,99","60,7802950000"
30,1,3,500,1,500,"0,99","58,2524966000"
30,1,3,500,1,1000,"0,99","57,2725370000"
30,1,3,100,1,100,"0,99","62,8317960000"
30,1,3,100,1,500,"0,99","60,3712530000"
30,1,3,100,1,1000,"0,99","58,4070562000"
30,1,3,1000,501,100,"0,99","112,6036210000"
30,1,3,1000,501,500,"0,99","107,0997640000"
30,1,3,1000,501,1000,"0,99","103,4151900000"
30,1,3,1000,901,100,"0,99","119,2660730000"
30,1,3,1000,901,500,"0,99","112,5298690000"
30,1,3,1000,901,1000,"0,99","112,3606142000"
30,1,5,1000,1,100,"0,99","69,4113790000"
30,1,5,1000,1,500,"0,99","55,8713422000"
30,1,5,1000,1,1000,"0,99","58,2865424000"
30,1,5,500,1,100,"0,99","58,7946110000"
30,1,5,500,1,500,"0,99","59,5578522000"
30,1,5,500,1,1000,"0,99","57,5314496000"
30,1,5,100,1,100,"0,99","57,2311260000"
30,1,5,100,1,500,"0,99","55,4931050000"
30,1,5,100,1,1000,"0,99","55,8188382000"
30,1,5,1000,501,100,"0,99","107,2190050000"
30,1,5,1000,501,500,"0,99","109,4252640000"
30,1,5,1000,501,1000,"0,99","107,7250430000"
30,1,5,1000,901,100,"0,99","119,9621690000"
30,1,5,1000,901,500,"0,99","112,1805850000"
30,1,5,1000,901,1000,"0,99","112,1805850000"
30,1,10,1000,1,100,"0,99","65,5155250000"
30,1,10,1000,1,500,"0,99","60,8828932000"
30,1,10,1000,1,1000,"0,99","56,7059492000"
30,1,10,500,1,100,"0,99","69,9969210000"
30,1,10,500,1,500,"0,99","64,9562104000"
30,1,10,500,1,1000,"0,99","56,4711682000"
30,1,10,100,1,100,"0,99","71,9497600000"
30,1,10,100,1,500,"0,99","57,7703148000"
30,1,10,100,1,1000,"0,99","55,9844650000"
30,1,10,1000,501,100,"0,99","113,4711830000"
30,1,10,1000,501,500,"0,99","109,3128600000"
30,1,10,1000,501,1000,"0,99","107,4986250000"
30,1,10,1000,901,100,"0,99","120,0722760000"
30,1,10,1000,901,500,"0,99","119,3921780000"
30,1,10,1000,901,1000,"0,99","115,2913140000"
100,0,1,1000,1,100,"1,453","369,7901416000"
100,0,1,1000,1,500,"1,453","295,1854124000"
100,0,1,1000,1,1000,"1,453","280,0548042000"
100,0,1,500,1,100,"1,453","376,4047310000"
100,0,1,500,1,500,"1,453","280,9915622000"
100,0,1,500,1,1000,"1,453","271,4903522000"
100,0,1,100,1,100,"1,453","357,4213790000"
100,0,1,100,1,500,"1,453","299,1481670000"
100,0,1,100,1,1000,"1,453","248,6374138000"
100,0,1,1000,501,100,"1,453","449,6239630000"
100,0,1,1000,501,500,"1,453","438,6412668000"
100,0,1,1000,501,1000,"1,453","421,3878358000"
100,0,1,1000,901,100,"1,453","459,0485622000"
100,0,1,1000,901,500,"1,453","451,2938210000"
100,0,1,1000,901,1000,"1,453","444,8132130000"
100,0,3,1000,1,100,"1,453","347,5243070000"
100,0,3,1000,1,500,"1,453","303,6506700000"
100,0,3,1000,1,1000,"1,453","286,8905522000"
100,0,3,500,1,100,"1,453","390,8884320000"
