"nb_villes","meth_decroiss_temp","amplitude","temp_init","temp_finale","nb_rep_max","alpha","resultat"
30,0,1,1000,1,100,"0,5","86,1473362000"
30,0,1,1000,1,100,"1","101,7173770000"
30,0,1,1000,1,100,"3","110,2025750000"
30,0,1,1000,1,100,"5","109,5658990000"
30,0,1,1000,1,500,"0,5","74,9508500000"
30,0,1,1000,1,500,"1","86,4424170000"
30,0,1,1000,1,500,"3","93,3706470000"
30,0,1,1000,1,500,"5","100,5324940000"
30,0,1,1000,1,1000,"0,5","68,7519556000"
30,0,1,1000,1,1000,"1","78,7118362000"
30,0,1,1000,1,1000,"3","97,8769802000"
30,0,1,1000,1,1000,"5","102,1136186000"
30,0,1,500,1,100,"0,5","85,1165960000"
30,0,1,500,1,100,"1","104,9965830000"
30,0,1,500,1,100,"3","100,0303620000"
30,0,1,500,1,100,"5","116,6488540000"
30,0,1,500,1,500,"0,5","69,8146456000"
30,0,1,500,1,500,"1","86,6820216000"
30,0,1,500,1,500,"3","84,8488220000"
30,0,1,500,1,500,"5","102,8051860000"
30,0,1,500,1,1000,"0,5","67,3720252000"
30,0,1,500,1,1000,"1","76,9416752000"
30,0,1,500,1,1000,"3","82,0440950000"
30,0,1,500,1,1000,"5","101,3341518000"
30,0,1,100,1,100,"0,5","84,2034110000"
30,0,1,100,1,100,"1","91,2758880000"
30,0,1,100,1,100,"3","104,5372640000"
30,0,1,100,1,100,"5","117,2854058000"
30,0,1,100,1,500,"0,5","81,9566220000"
30,0,1,100,1,500,"1","82,2872660000"
30,0,1,100,1,500,"3","102,9637540000"
30,0,1,100,1,500,"5","98,4184690000"
30,0,1,100,1,1000,"0,5","73,9916420000"
30,0,1,100,1,1000,"1","76,9032720000"
30,0,1,100,1,1000,"3","96,9677330000"
30,0,1,100,1,1000,"5","108,9059900000"
30,0,1,1000,501,100,"0,5","109,0827810000"
30,0,1,1000,501,100,"1","103,8326690000"
30,0,1,1000,501,100,"3","115,4703270000"
30,0,1,1000,501,100,"5","118,2881540000"
30,0,1,1000,501,500,"0,5","100,4585082000"
30,0,1,1000,501,500,"1","107,6128488000"
30,0,1,1000,501,500,"3","107,4363580000"
30,0,1,1000,501,500,"5","109,0171890000"
30,0,1,1000,501,1000,"0,5","101,5265200000"
30,0,1,1000,501,1000,"1","103,9035040000"
30,0,1,1000,501,1000,"3","101,6202256000"
30,0,1,1000,501,1000,"5","108,2727810000"
30,0,1,1000,901,100,"0,5","114,8334100000"
30,0,1,1000,901,100,"1","114,8334100000"
30,0,1,1000,901,100,"3","116,6853450000"
30,0,1,1000,901,100,"5","116,6853450000"
30,0,1,1000,901,500,"0,5","106,8785020000"
30,0,1,1000,901,500,"1","106,6988784000"
30,0,1,1000,901,500,"3","114,7295020000"
30,0,1,1000,901,500,"5","114,7295020000"
30,0,1,1000,901,1000,"0,5","107,4615376000"
30,0,1,1000,901,1000,"1","102,6945100000"
30,0,1,1000,901,1000,"3","109,0217290000"
30,0,1,1000,901,1000,"5","109,0217290000"
30,0,3,1000,1,100,"0,5","91,8452110000"
30,0,3,1000,1,100,"1","102,4768380000"
30,0,3,1000,1,100,"3","107,7522390000"
30,0,3,1000,1,100,"5","113,3654910000"
30,0,3,1000,1,500,"0,5","72,1178866000"
30,0,3,1000,1,500,"1","86,9874926000"
30,0,3,1000,1,500,"3","103,9522388000"
30,0,3,1000,1,500,"5","104,9400870000"
30,0,3,1000,1,1000,"0,5","71,0086526000"
30,0,3,1000,1,1000,"1","80,1151406000"
30,0,3,1000,1,1000,"3","93,8601720000"
30,0,3,1000,1,1000,"5","101,4614310000"
30,0,3,500,1,100,"0,5","73,8620080000"
30,0,3,500,1,100,"1","93,9014910000"
30,0,3,500,1,100,"3","85,6496130000"
30,0,3,500,1,100,"5","110,4869100000"
30,0,3,500,1,500,"0,5","75,6476376000"
30,0,3,500,1,500,"1","81,6273010000"
30,0,3,500,1,500,"3","87,6056180000"
30,0,3,500,1,500,"5","92,9909450000"
30,0,3,500,1,1000,"0,5","76,3200170000"
30,0,3,500,1,1000,"1","83,2258622000"
30,0,3,500,1,1000,"3","76,9253530000"
